"","start_year","round","percent_redrafted","initial_draft_round","redraft_round","mean_round_diff"
"1",1990,50,35.3,45.58,28.5,17.08
"2",1995,50,32.8,45.34,24.78,20.56
"3",2000,50,37.7,45.39,25.52,19.87
"4",2005,50,44.2,NA,NA,NA
"5",2010,50,NA,NA,NA,NA
"6",1990,40,46.9,35.98,29.17,6.81
"7",1995,40,44.4,35.89,26.7,9.19
"8",2000,40,48.8,35.93,26.86,9.07
"9",2005,40,52.8,36,21.25,14.75
"10",2010,40,58.6,36.15,15.96,20.19
"11",1990,30,59.2,25.99,30.16,-4.17
"12",1995,30,52.2,25.96,25.23,0.73
"13",2000,30,61.7,25.85,22.76,3.09
"14",2005,30,60.1,26.11,21.65,4.46
"15",2010,30,64.8,25.87,14.77,11.1
"16",1990,20,65,15.62,19.12,-3.5
"17",1995,20,61.7,15.79,19.28,-3.49
"18",2000,20,72.4,16.47,18.22,-1.75
"19",2005,20,77.4,16.26,17.89,-1.63
"20",2010,20,65.7,15.85,13.59,2.26
"21",1990,10,71.9,8.17,16.96,-8.79
"22",1995,10,75,8.18,14.08,-5.9
"23",2000,10,88.4,8.12,17.82,-9.7
"24",2005,10,86.2,8.66,13.52,-4.86
"25",2010,10,73.1,7.88,8.84,-0.96
"26",1990,5,86.1,3.28,13.48,-10.2
"27",1995,5,85.7,3.29,8.25,-4.96
"28",2000,5,90.9,3.52,9,-5.48
"29",2005,5,100,3.25,10.64,-7.39
"30",2010,5,87.5,3.04,9.9,-6.86
